id,x,y,z,component,pin_name,layer,signal,connected_to,connected_ids
199,6.3308594,-5.92804,0.0,L-D11,1,TOP,L-ROW1,U1:10|L-D6:1|L-D8:1|L-D7:1|L-D9:1|L-D10:1,"[67,201,203,205,213,237]"
200,6.4607806,-5.92804,0.0,L-D11,2,TOP,Net-(L-D11-A),L-S11:2,[198]
201,2.7170020767096927,-6.198890827218065,0.0,L-D6,1,TOP,L-ROW1,U1:10|L-D11:1|L-D8:1|L-D7:1|L-D9:1|L-D10:1,"[67,199,203,205,213,237]"
202,2.6966779232903075,-6.070569172781935,0.0,L-D6,2,TOP,Net-(L-D6-A),L-S6:2,[57]
203,4.217570231690945,-5.40799473903626,0.0,L-D8,1,TOP,L-ROW1,U1:10|L-D11:1|L-D6:1|L-D7:1|L-D9:1|L-D10:1,"[67,199,201,205,213,237]"
204,4.203989768309055,-5.2787852609637405,0.0,L-D8,2,TOP,Net-(L-D8-A),L-S8:2,[142]
205,3.4866920767096925,-6.070940827218065,0.0,L-D7,1,TOP,L-ROW1,U1:10|L-D11:1|L-D6:1|L-D8:1|L-D9:1|L-D10:1,"[67,199,201,203,213,237]"
206,3.4663679232903073,-5.942619172781935,0.0,L-D7,2,TOP,Net-(L-D7-A),L-S7:2,[41]
207,6.4588106,-6.89457,0.0,L-D19,1,TOP,L-ROW3,U1:8|L-D20:1|L-D18:1,"[65,219,233]"
208,6.3288893999999996,-6.89457,0.0,L-D19,2,TOP,Net-(L-D19-A),L-S19:2,[103]
209,5.80723,-5.1918106,0.0,L-D4,1,TOP,L-ROW0,U1:11|L-D1:1|L-D3:1|L-D2:1|L-D0:1|L-D5:1,"[68,211,215,227,235,239]"
210,5.80723,-5.0618894,0.0,L-D4,2,TOP,Net-(L-D4-A),L-S4:2,[15]
211,3.3689020767096927,-5.306360827218065,0.0,L-D1,1,TOP,L-ROW0,U1:11|L-D4:1|L-D3:1|L-D2:1|L-D0:1|L-D5:1,"[68,209,215,227,235,239]"
212,3.3485779232903075,-5.1780391727819355,0.0,L-D1,2,TOP,Net-(L-D1-A),L-S1:2,[95]
213,5.01983,-5.3985106,0.0,L-D9,1,TOP,L-ROW1,U1:10|L-D11:1|L-D6:1|L-D8:1|L-D7:1|L-D10:1,"[67,199,201,203,205,237]"
214,5.01983,-5.2685894,0.0,L-D9,2,TOP,Net-(L-D9-A),L-S9:2,[24]
215,5.00605,-4.6563806,0.0,L-D3,1,TOP,L-ROW0,U1:11|L-D4:1|L-D1:1|L-D2:1|L-D0:1|L-D5:1,"[68,209,211,227,235,239]"
216,5.00605,-4.5264594,0.0,L-D3,2,TOP,Net-(L-D3-A),L-S3:2,[158]
217,2.761637923290307,-6.409149172781935,0.0,L-D12,1,TOP,L-ROW2,U1:9|L-D17:1|L-D14:1|L-D15:1|L-D16:1|L-D13:1,"[66,221,223,225,229,231]"
218,2.7819620767096924,-6.537470827218065,0.0,L-D12,2,TOP,Net-(L-D12-A),L-S12:2,[87]
219,6.558039172781935,-7.000547923290308,0.0,L-D20,1,TOP,L-ROW3,U1:8|L-D19:1|L-D18:1,"[65,207,233]"
220,6.686360827218065,-7.020872076709693,0.0,L-D20,2,TOP,Net-(L-D20-A),L-S20:2,[166]
221,6.3308594,-6.68197,0.0,L-D17,1,TOP,L-ROW2,U1:9|L-D12:1|L-D14:1|L-D15:1|L-D16:1|L-D13:1,"[66,217,223,225,229,231]"
222,6.4607806,-6.68197,0.0,L-D17,2,TOP,Net-(L-D17-A),L-S17:2,[119]
223,4.278590231690945,-6.17374473903626,0.0,L-D14,1,TOP,L-ROW2,U1:9|L-D12:1|L-D17:1|L-D15:1|L-D16:1|L-D13:1,"[66,217,221,225,229,231]"
224,4.265009768309055,-6.04453526096374,0.0,L-D14,2,TOP,Net-(L-D14-A),L-S14:2,[7]
225,5.01983,-6.1307906,0.0,L-D15,1,TOP,L-ROW2,U1:9|L-D12:1|L-D17:1|L-D14:1|L-D16:1|L-D13:1,"[66,217,221,223,229,231]"
226,5.01983,-6.0008694,0.0,L-D15,2,TOP,Net-(L-D15-A),L-S15:2,[111]
227,4.162450231690945,-4.7268947390362595,0.0,L-D2,1,TOP,L-ROW0,U1:11|L-D4:1|L-D1:1|L-D3:1|L-D0:1|L-D5:1,"[68,209,211,215,235,239]"
228,4.148869768309055,-4.59768526096374,0.0,L-D2,2,TOP,Net-(L-D2-A),L-S2:2,[150]
229,5.5611694,-6.68591,0.0,L-D16,1,TOP,L-ROW2,U1:9|L-D12:1|L-D17:1|L-D14:1|L-D15:1|L-D13:1,"[66,217,221,223,225,231]"
230,5.6910906,-6.68591,0.0,L-D16,2,TOP,Net-(L-D16-A),L-S16:2,[49]
231,3.5195179232903073,-6.310729172781935,0.0,L-D13,1,TOP,L-ROW2,U1:9|L-D12:1|L-D17:1|L-D14:1|L-D15:1|L-D16:1,"[66,217,221,223,225,229]"
232,3.5398420767096925,-6.439050827218065,0.0,L-D13,2,TOP,Net-(L-D13-A),L-S13:2,[182]
233,5.5631394,-6.89063,0.0,L-D18,1,TOP,L-ROW3,U1:8|L-D19:1|L-D20:1,"[65,207,219]"
234,5.6930606,-6.89063,0.0,L-D18,2,TOP,Net-(L-D18-A),L-S18:2,[190]
235,2.6087320767096926,-5.458730827218065,0.0,L-D0,1,TOP,L-ROW0,U1:11|L-D4:1|L-D1:1|L-D3:1|L-D2:1|L-D5:1,"[68,209,211,215,227,239]"
236,2.5884079232903074,-5.330409172781935,0.0,L-D0,2,TOP,Net-(L-D0-A),L-S0:2,[134]
237,5.79739,-5.9496906,0.0,L-D10,1,TOP,L-ROW1,U1:10|L-D11:1|L-D6:1|L-D8:1|L-D7:1|L-D9:1,"[67,199,201,203,205,213]"
238,5.79739,-5.8197694,0.0,L-D10,2,TOP,Net-(L-D10-A),L-S10:2,[33]
239,6.3308594,-5.15835,0.0,L-D5,1,TOP,L-ROW0,U1:11|L-D4:1|L-D1:1|L-D3:1|L-D2:1|L-D0:1,"[68,209,211,215,227,235]"
240,6.4607806,-5.15835,0.0,L-D5,2,TOP,Net-(L-D5-A),L-S5:2,[174]
